sorghum	maize1	maize2	ftype
EES00168	Zm00001d039575	.	maize1-retained
OQU86179	Zm00001d039571	.	maize1-retained
KXG31669	Zm00001d039576	.	maize1-retained
EES00169	Zm00001d039578	.	maize1-retained
EES00170	Zm00001d039579	.	maize1-retained
KXG31673	Zm00001d039580	Zm00001d008839	both-retained
OQU86180	.	Zm00001d008837	maize2-retained
EES02345	.	Zm00001d008837	maize2-retained
EES02346	Zm00001d039581	.	maize1-retained
EES00172	Zm00001d039582	.	maize1-retained
EES02347	.	Zm00001d008827	maize2-retained
OQU86187	Zm00001d039584	.	maize1-retained
KXG31676	Zm00001d039589	Zm00001d008826	both-retained
KXG31677	.	.	non-syntenic
EES00175	Zm00001d039590	.	maize1-retained
KXG31678	Zm00001d039591	Zm00001d008825	both-retained
KXG31679	Zm00001d039594	.	maize1-retained
KXG31680	Zm00001d039595	.	maize1-retained
EES02349	.	.	non-syntenic
KXG31682	.	Zm00001d008785	maize2-retained
KXG31683	Zm00001d039596	.	maize1-retained
OQU86190	.	.	non-syntenic
EES00181	Zm00001d039597	Zm00001d008782	both-retained
KXG31685	.	.	non-syntenic
OQU86191	Zm00001d039598	.	maize1-retained
OQU86195	.	.	non-syntenic
EES02350	Zm00001d039600	Zm00001d008779	both-retained
EES02351	.	Zm00001d008777	maize2-retained
KXG31689	.	.	non-syntenic
EES00186	Zm00001d039606	Zm00001d008772	both-retained
KXG31692	.	.	non-syntenic
EES00187	Zm00001d039607	Zm00001d008764	both-retained
KXG31696	Zm00001d039608	Zm00001d008763	both-retained
EES02354	Zm00001d039611	Zm00001d008762	both-retained
OQU86200	.	.	non-syntenic
OQU86203	Zm00001d039612	.	maize1-retained
EES02356	Zm00001d039613	Zm00001d008759	both-retained
EES02357	Zm00001d039614	Zm00001d008758	both-retained
KXG31698	.	.	non-syntenic
OQU86206	.	.	non-syntenic
EES00189	Zm00001d039615	Zm00001d008756	both-retained
OQU86207	.	Zm00001d008762	maize2-retained
EES00190	.	Zm00001d008753	maize2-retained
EES00191	Zm00001d039616	.	maize1-retained
KXG31699	Zm00001d039617	.	maize1-retained
EES00192	Zm00001d039618	.	maize1-retained
KXG31702	Zm00001d039619	.	maize1-retained
EES00193	.	Zm00001d008752	maize2-retained
EES00194	Zm00001d039620	.	maize1-retained
EES02360	.	.	non-syntenic
OQU86209	.	.	non-syntenic
KXG31703	Zm00001d039621	.	maize1-retained
KXG31704	Zm00001d039623	.	maize1-retained
EES02362	.	Zm00001d008750	maize2-retained
KXG31707	Zm00001d039624	Zm00001d008749	both-retained
EES00199	Zm00001d039625	.	maize1-retained
EES02363	Zm00001d039626	.	maize1-retained
EES02364	.	Zm00001d008748	maize2-retained
EES00200	.	.	non-syntenic
EES02365	.	.	non-syntenic
OQU86211	.	.	non-syntenic
OQU86212	.	.	non-syntenic
OQU86213	.	.	non-syntenic
KXG31711	Zm00001d039628	Zm00001d008744	both-retained
OQU86216	.	.	non-syntenic
EES00201	Zm00001d039631	.	maize1-retained
KXG31714	.	.	non-syntenic
EES00202	Zm00001d039634	.	maize1-retained
KXG31715	.	.	non-syntenic
KXG31717	.	.	non-syntenic
EES02367	.	Zm00001d008743	maize2-retained
KXG31720	.	Zm00001d008742	maize2-retained
OQU86218	Zm00001d039635	.	maize1-retained
EES02371	Zm00001d039636	.	maize1-retained
EES02372	Zm00001d039637	.	maize1-retained
KXG31726	.	.	non-syntenic
EES00204	.	Zm00001d008739	maize2-retained
EES00205	Zm00001d039638	.	maize1-retained
EES02368	Zm00001d039639	.	maize1-retained
KXG31728	.	Zm00001d008738	maize2-retained
OQU86219	.	.	non-syntenic
KXG31729	Zm00001d039642	.	maize1-retained
EES02375	Zm00001d039642	.	maize1-retained
KXG31730	Zm00001d039643	.	maize1-retained
EES00208	Zm00001d039643	.	maize1-retained
KXG31731	Zm00001d039647	Zm00001d008738	both-retained
EES00210	Zm00001d039648	.	maize1-retained
KXG31733	.	.	non-syntenic
EES00212	Zm00001d039650	.	maize1-retained
EES00209	.	.	non-syntenic
KXG31734	.	.	non-syntenic
KXG31735	Zm00001d039653	Zm00001d008737	both-retained
KXG31737	.	Zm00001d008736	maize2-retained
EES00213	Zm00001d039654	.	maize1-retained
KXG31739	.	.	non-syntenic
EES00215	.	Zm00001d008735	maize2-retained
KXG31740	.	.	non-syntenic
EES00217	Zm00001d039656	.	maize1-retained
EES00218	Zm00001d039657	.	maize1-retained
EES00219	Zm00001d039658	Zm00001d008734	both-retained
KXG31741	.	Zm00001d008733	maize2-retained
KXG31743	Zm00001d039660	.	maize1-retained
EES02380	Zm00001d039661	.	maize1-retained
EES00222	Zm00001d039663	Zm00001d008731	both-retained
KXG31744	.	.	non-syntenic
EES00223	Zm00001d039667	.	maize1-retained
KXG31745	Zm00001d039668	.	maize1-retained
EES02382	.	Zm00001d008730	maize2-retained
EES02383	.	.	non-syntenic
OQU86228	.	.	non-syntenic
KXG31749	Zm00001d039670	Zm00001d008727	both-retained
EES02379	.	.	non-syntenic
OQU86229	.	Zm00001d008726	maize2-retained
OQU86230	Zm00001d039673	Zm00001d008725	both-retained
KXG31751	Zm00001d039674	.	maize1-retained
EES00226	Zm00001d039675	.	maize1-retained
EES00227	Zm00001d039677	.	maize1-retained
EES02381	Zm00001d039678	Zm00001d008724	both-retained
EES02386	.	.	non-syntenic
KXG31752	.	Zm00001d008722	maize2-retained
OQU86231	.	.	non-syntenic
EES02388	Zm00001d039680	.	maize1-retained
EES02389	.	Zm00001d008721	maize2-retained
KXG31754	.	Zm00001d008720	maize2-retained
KXG31755	Zm00001d039681	.	maize1-retained
KXG31756	.	.	non-syntenic
EES00230	Zm00001d039682	Zm00001d008716	both-retained
EES02390	Zm00001d039678	Zm00001d008715	both-retained
OQU86234	Zm00001d039683	.	maize1-retained
EES00228	Zm00001d039685	.	maize1-retained
KXG31759	Zm00001d039686	Zm00001d008708	both-retained
KXG31760	Zm00001d039687	Zm00001d008706	both-retained
KXG31762	.	.	non-syntenic
KXG31764	Zm00001d039691	Zm00001d008700	both-retained
EES02391	Zm00001d039693	Zm00001d008689	both-retained
EES00235	Zm00001d039694	.	maize1-retained
OQU86236	.	.	non-syntenic
KXG31765	.	Zm00001d008699	maize2-retained
EES02393	Zm00001d039700	Zm00001d008695	both-retained
OQU86237	Zm00001d039700	Zm00001d008695	both-retained
KXG31766	Zm00001d039701	Zm00001d008693	both-retained
EES00238	Zm00001d039701	Zm00001d008693	both-retained
EES00239	Zm00001d039701	Zm00001d008693	both-retained
KXG31767	Zm00001d039702	Zm00001d008692	both-retained
OQU86238	.	.	non-syntenic
OQU86240	Zm00001d039703	Zm00001d008691	both-retained
KXG31768	Zm00001d039706	Zm00001d008690	both-retained
KXG31769	.	.	non-syntenic
EES00240	Zm00001d039709	Zm00001d008689	both-retained
KXG31771	Zm00001d039710	.	maize1-retained
EES00241	Zm00001d039711	.	maize1-retained
OQU86242	.	.	non-syntenic
OQU86243	.	.	non-syntenic
EES02398	.	.	non-syntenic
EES02394	Zm00001d039712	.	maize1-retained
OQU86244	.	.	non-syntenic
KXG31778	Zm00001d039714	.	maize1-retained
OQU86245	.	.	non-syntenic
EES00245	Zm00001d039715	Zm00001d008681	both-retained
EES02399	Zm00001d039716	Zm00001d008680	both-retained
OQU86246	.	.	non-syntenic
KXG31782	Zm00001d039717	Zm00001d008679	both-retained
EES00246	Zm00001d039718	.	maize1-retained
KXG31784	Zm00001d039719	.	maize1-retained
EES00247	Zm00001d039726	Zm00001d008676	both-retained
EES02400	Zm00001d039727	.	maize1-retained
KXG31787	Zm00001d039728	.	maize1-retained
KXG31790	Zm00001d039729	.	maize1-retained
KXG31789	.	.	non-syntenic
OQU86248	.	.	non-syntenic
KXG31791	.	.	non-syntenic
EES00249	.	.	non-syntenic
EES02403	Zm00001d039732	.	maize1-retained
EES01716	Zm00001d039733	Zm00001d008669	both-retained
KXG31793	.	.	non-syntenic
EES02404	.	.	non-syntenic
OQU86249	.	.	non-syntenic
KXG31794	.	.	non-syntenic
EES02405	.	.	non-syntenic
EES00250	Zm00001d039733	Zm00001d008669	both-retained
OQU86250	.	.	non-syntenic
OQU86251	Zm00001d039733	Zm00001d008669	both-retained
KXG31795	.	Zm00001d008668	maize2-retained
EES02407	Zm00001d039735	.	maize1-retained
OQU86252	.	.	non-syntenic
EES00256	.	.	non-syntenic
OQU86253	.	.	non-syntenic
EES00248	.	.	non-syntenic
OQU86254	Zm00001d039749	.	maize1-retained
KXG31798	.	Zm00001d008666	maize2-retained
EES00260	.	.	non-syntenic
EES02409	.	Zm00001d008665	maize2-retained
EES00261	Zm00001d039739	Zm00001d008664	both-retained
EES02410	Zm00001d039740	Zm00001d008663	both-retained
KXG31800	.	.	non-syntenic
KXG31802	Zm00001d039745	.	maize1-retained
EES00264	Zm00001d039746	.	maize1-retained
KXG31803	Zm00001d039747	Zm00001d008656	both-retained
EES00265	Zm00001d039748	.	maize1-retained
KXG31806	Zm00001d039749	.	maize1-retained
EES02415	Zm00001d039750	.	maize1-retained
OQU86256	.	.	non-syntenic
EES00262	Zm00001d039754	.	maize1-retained
KXG31807	Zm00001d039758	.	maize1-retained
OQU86257	.	.	non-syntenic
OQU86258	Zm00001d039754	.	maize1-retained
EES00270	Zm00001d039763	.	maize1-retained
OQU86260	.	Zm00001d008654	maize2-retained
EES02419	.	.	non-syntenic
EES02420	.	.	non-syntenic
EES00271	.	.	non-syntenic
OQU86264	.	.	non-syntenic
KXG31810	.	.	non-syntenic
EES02423	.	.	non-syntenic
EES00273	.	.	non-syntenic
EES00274	.	.	non-syntenic
KXG31811	.	.	non-syntenic
KXG31812	Zm00001d039769	Zm00001d008649	both-retained
KXG31813	.	.	non-syntenic
EES00276	.	.	non-syntenic
KXG31815	.	.	non-syntenic
EES00278	.	Zm00001d008651	maize2-retained
EES00272	Zm00001d039764	.	maize1-retained
EES00279	.	.	non-syntenic
KXG31816	Zm00001d039766	Zm00001d008650	both-retained
OQU86269	Zm00001d039766	Zm00001d008650	both-retained
KXG31818	Zm00001d039768	.	maize1-retained
OQU86271	.	.	non-syntenic
EES00281	Zm00001d039769	Zm00001d008649	both-retained
EES00282	Zm00001d039770	.	maize1-retained
OQU86273	.	.	non-syntenic
OQU86274	Zm00001d039771	.	maize1-retained
EES00285	.	Zm00001d008648	maize2-retained
EES00286	.	.	non-syntenic
KXG31821	.	Zm00001d008646	maize2-retained
EES00287	.	.	non-syntenic
KXG31822	.	.	non-syntenic
EES02427	Zm00001d039772	Zm00001d008642	both-retained
EES02428	Zm00001d039772	Zm00001d008642	both-retained
EES02429	.	Zm00001d008640	maize2-retained
KXG31823	.	.	non-syntenic
EES02430	Zm00001d039776	.	maize1-retained
EES00289	Zm00001d039780	.	maize1-retained
OQU86276	Zm00001d039781	.	maize1-retained
EES02432	Zm00001d039782	.	maize1-retained
OQU86277	Zm00001d039783	.	maize1-retained
KXG31824	.	.	non-syntenic
OQU86279	.	.	non-syntenic
KXG31826	.	.	non-syntenic
KXG31827	.	.	non-syntenic
OQU86280	.	.	non-syntenic
OQU86281	.	.	non-syntenic
OQU86282	Zm00001d039785	.	maize1-retained
OQU86283	Zm00001d039786	.	maize1-retained
EES00292	.	.	non-syntenic
KXG31830	Zm00001d039789	.	maize1-retained
KXG31831	.	.	non-syntenic
KXG31832	Zm00001d039787	.	maize1-retained
EES02439	Zm00001d039788	.	maize1-retained
OQU86286	.	.	non-syntenic
OQU86287	.	.	non-syntenic
KXG31834	Zm00001d039791	.	maize1-retained
KXG31835	.	.	non-syntenic
EES00295	Zm00001d039799	.	maize1-retained
EES00296	Zm00001d039799	.	maize1-retained
OQU86288	Zm00001d039799	.	maize1-retained
OQU86289	Zm00001d039799	.	maize1-retained
KXG31837	Zm00001d039805	.	maize1-retained
EES00299	Zm00001d039818	.	maize1-retained
KXG31839	Zm00001d039818	.	maize1-retained
KXG31840	Zm00001d039818	.	maize1-retained
OQU86290	Zm00001d039796	.	maize1-retained
KXG31841	Zm00001d039817	.	maize1-retained
OQU86291	.	.	non-syntenic
EES02445	Zm00001d039817	.	maize1-retained
KXG31842	.	.	non-syntenic
EES02446	Zm00001d039817	.	maize1-retained
KXG31845	Zm00001d039802	.	maize1-retained
KXG31844	.	.	non-syntenic
KXG31846	Zm00001d039818	.	maize1-retained
OQU86294	Zm00001d039817	.	maize1-retained
KXG31849	Zm00001d039816	.	maize1-retained
OQU86296	Zm00001d039808	.	maize1-retained
EES00304	Zm00001d039821	.	maize1-retained
KXG31851	.	.	non-syntenic
EES00305	Zm00001d039821	.	maize1-retained
KXG31852	Zm00001d039822	.	maize1-retained
EES00306	Zm00001d039825	.	maize1-retained
KXG31856	.	.	non-syntenic
KXG31853	.	.	non-syntenic
EES00307	Zm00001d039827	.	maize1-retained
KXG31857	Zm00001d039824	.	maize1-retained
OQU86297	.	.	non-syntenic
OQU86298	Zm00001d039824	.	maize1-retained
EES02456	Zm00001d039833	.	maize1-retained
EES02457	Zm00001d039824	.	maize1-retained
EES02458	Zm00001d039824	.	maize1-retained
KXG31858	Zm00001d039840	.	maize1-retained
EES02452	.	.	non-syntenic
OQU86300	.	.	non-syntenic
KXG31859	Zm00001d039837	.	maize1-retained
KXG31860	Zm00001d039837	.	maize1-retained
OQU86302	Zm00001d039837	.	maize1-retained
KXG31861	Zm00001d039833	.	maize1-retained
KXG31862	Zm00001d039841	.	maize1-retained
KXG31863	Zm00001d039833	.	maize1-retained
EES02467	Zm00001d039833	.	maize1-retained
KXG31864	.	.	non-syntenic
EES02468	Zm00001d039841	.	maize1-retained
OQU86303	Zm00001d039822	Zm00001d008633	both-retained
EES02463	Zm00001d039824	Zm00001d008632	both-retained
OQU86304	Zm00001d039824	Zm00001d008633	both-retained
KXG31868	Zm00001d039842	.	maize1-retained
OQU86305	Zm00001d039824	Zm00001d008632	both-retained
OQU86306	Zm00001d039824	Zm00001d008632	both-retained
OQU86309	Zm00001d039824	Zm00001d008632	both-retained
KXG31871	.	.	non-syntenic
EES00313	Zm00001d039845	.	maize1-retained
EES02477	.	Zm00001d008631	maize2-retained
KXG31872	.	.	non-syntenic
EES00314	Zm00001d039847	.	maize1-retained
EES02479	Zm00001d039848	.	maize1-retained
EES02480	Zm00001d039851	.	maize1-retained
EES02481	.	Zm00001d008628	maize2-retained
KXG31875	Zm00001d039852	Zm00001d008625	both-retained
EES02482	Zm00001d039854	Zm00001d008624	both-retained
KXG31877	Zm00001d039856	Zm00001d008623	both-retained
KXG31878	Zm00001d039856	Zm00001d008623	both-retained
KXG31881	Zm00001d039856	Zm00001d008623	both-retained
OQU86315	Zm00001d039856	.	maize1-retained
EES02478	.	Zm00001d008622	maize2-retained
OQU86316	Zm00001d039858	Zm00001d008621	both-retained
KXG31884	.	.	non-syntenic
OQU86320	Zm00001d039859	Zm00001d008620	both-retained
OQU86321	Zm00001d039824	Zm00001d008633	both-retained
KXG31888	.	.	non-syntenic
EES02483	Zm00001d039860	.	maize1-retained
EES00320	Zm00001d039865	Zm00001d008619	both-retained
KXG31889	Zm00001d039866	.	maize1-retained
EES00322	Zm00001d039867	Zm00001d008618	both-retained
EES00316	.	.	non-syntenic
OQU86322	.	.	non-syntenic
KXG31890	Zm00001d039867	.	maize1-retained
KXG31891	Zm00001d039867	Zm00001d008618	both-retained
EES00318	Zm00001d039870	.	maize1-retained
EES02488	Zm00001d039871	Zm00001d008617	both-retained
EES00319	.	.	non-syntenic
OQU86323	.	.	non-syntenic
OQU86324	.	.	non-syntenic
OQU86325	.	.	non-syntenic
EES00321	.	.	non-syntenic
OQU86326	.	.	non-syntenic
OQU86327	.	.	non-syntenic
OQU86328	.	.	non-syntenic
OQU86332	.	.	non-syntenic
OQU86329	.	.	non-syntenic
KXG31896	.	.	non-syntenic
KXG31898	.	.	non-syntenic
EES02495	Zm00001d039873	.	maize1-retained
EES02496	Zm00001d039874	.	maize1-retained
OQU86333	Zm00001d039875	.	maize1-retained
KXG31902	.	Zm00001d008614	maize2-retained
KXG31903	Zm00001d039878	.	maize1-retained
EES02497	Zm00001d039879	Zm00001d008613	both-retained
EES00328	Zm00001d039880	.	maize1-retained
EES00329	Zm00001d039880	.	maize1-retained
EES00330	.	Zm00001d008612	maize2-retained
OQU86334	.	.	non-syntenic
EES00331	Zm00001d039881	Zm00001d008611	both-retained
EES00332	Zm00001d039882	.	maize1-retained
EES00333	Zm00001d039883	Zm00001d008610	both-retained
EES00334	Zm00001d039883	Zm00001d008610	both-retained
OQU86335	.	.	non-syntenic
EES00325	.	.	non-syntenic
EES00336	Zm00001d039884	.	maize1-retained
OQU86336	.	.	non-syntenic
OQU86338	.	.	non-syntenic
KXG31907	.	.	non-syntenic
KXG31910	.	Zm00001d008606	maize2-retained
OQU86341	Zm00001d039891	.	maize1-retained
KXG31911	.	.	non-syntenic
KXG31912	Zm00001d039891	.	maize1-retained
KXG31913	.	Zm00001d008604	maize2-retained
KXG31916	.	.	non-syntenic
OQU86343	Zm00001d039892	.	maize1-retained
KXG31918	Zm00001d039893	Zm00001d008602	both-retained
EES00338	Zm00001d039893	Zm00001d008602	both-retained
EES02500	Zm00001d039895	.	maize1-retained
EES00340	Zm00001d039898	Zm00001d008598	both-retained
EES02505	.	Zm00001d008600	maize2-retained
KXG31920	.	.	non-syntenic
OQU86344	.	.	non-syntenic
KXG31921	.	.	non-syntenic
KXG31922	Zm00001d039899	.	maize1-retained
EES00343	Zm00001d039900	.	maize1-retained
EES02509	Zm00001d039901	Zm00001d008599	both-retained
EES00342	.	Zm00001d008597	maize2-retained
KXG31924	Zm00001d039903	.	maize1-retained
EES00345	.	.	non-syntenic
EES00346	Zm00001d039904	Zm00001d008596	both-retained
KXG31925	.	.	non-syntenic
EES02511	Zm00001d039907	.	maize1-retained
EES02512	Zm00001d039908	Zm00001d008594	both-retained
EES02513	Zm00001d039911	.	maize1-retained
EES02514	Zm00001d039910	.	maize1-retained
OQU86353	.	.	non-syntenic
KXG31926	.	.	non-syntenic
KXG31928	.	Zm00001d008592	maize2-retained
EES00348	Zm00001d039916	Zm00001d008591	both-retained
EES02516	.	Zm00001d008590	maize2-retained
OQU86363	Zm00001d039918	Zm00001d008588	both-retained
KXG31932	.	Zm00001d008587	maize2-retained
EES02517	Zm00001d039919	.	maize1-retained
OQU86366	Zm00001d039920	Zm00001d008585	both-retained
OQU86368	.	.	non-syntenic
OQU86369	.	.	non-syntenic
KXG31936	Zm00001d039920	Zm00001d008585	both-retained
EES02515	Zm00001d039921	Zm00001d008585	both-retained
OQU86370	.	.	non-syntenic
OQU86372	.	.	non-syntenic
OQU86371	.	.	non-syntenic
OQU86373	Zm00001d039921	Zm00001d008585	both-retained
KXG31937	Zm00001d039920	Zm00001d008586	both-retained
EES02518	Zm00001d039921	Zm00001d008585	both-retained
OQU86376	Zm00001d039921	Zm00001d008585	both-retained
OQU86377	Zm00001d039925	Zm00001d008582	both-retained
KXG31943	Zm00001d039925	Zm00001d008584	both-retained
OQU86378	Zm00001d039929	Zm00001d008586	both-retained
KXG31945	Zm00001d039923	Zm00001d008585	both-retained
KXG31947	Zm00001d039923	Zm00001d008585	both-retained
OQU86379	Zm00001d039931	Zm00001d008582	both-retained
EES02523	Zm00001d039920	Zm00001d008585	both-retained
EES02530	.	.	non-syntenic
KXG31948	Zm00001d039926	Zm00001d008581	both-retained
KXG31949	Zm00001d039927	Zm00001d008581	both-retained
OQU86381	Zm00001d039920	Zm00001d008586	both-retained
KXG31951	Zm00001d039929	Zm00001d008586	both-retained
EES00350	Zm00001d039925	Zm00001d008582	both-retained
EES02528	Zm00001d039931	Zm00001d008581	both-retained
OQU86382	Zm00001d039925	Zm00001d008584	both-retained
EES00357	Zm00001d039932	Zm00001d008579	both-retained
EES02531	Zm00001d039936	Zm00001d008577	both-retained
EES00358	Zm00001d039936	Zm00001d008577	both-retained
EES02532	Zm00001d039936	Zm00001d008577	both-retained
EES00359	Zm00001d039936	Zm00001d008577	both-retained
EES02533	Zm00001d039941	Zm00001d008577	both-retained
OQU86383	Zm00001d039921	Zm00001d008585	both-retained
EES02535	Zm00001d039942	Zm00001d008577	both-retained
EES00360	Zm00001d039944	Zm00001d008573	both-retained
EES00361	Zm00001d039946	.	maize1-retained
EES02537	Zm00001d039956	.	maize1-retained
EES02538	Zm00001d039956	.	maize1-retained
OQU86386	.	.	non-syntenic
EES00362	Zm00001d039946	.	maize1-retained
KXG31954	.	.	non-syntenic
EES02539	Zm00001d039963	Zm00001d008570	both-retained
EES02540	Zm00001d039965	Zm00001d008569	both-retained
EES00364	Zm00001d039966	.	maize1-retained
EES02541	Zm00001d039967	.	maize1-retained
EES02542	Zm00001d039969	Zm00001d008568	both-retained
EES02543	Zm00001d039970	Zm00001d008568	both-retained
KXG31955	Zm00001d039970	Zm00001d008568	both-retained
KXG31957	Zm00001d039971	.	maize1-retained
KXG31960	Zm00001d039973	Zm00001d008567	both-retained
EES00365	Zm00001d039974	.	maize1-retained
KXG31963	Zm00001d039975	Zm00001d008565	both-retained
EES02546	.	Zm00001d008564	maize2-retained
EES02547	Zm00001d039977	Zm00001d008562	both-retained
OQU86389	.	.	non-syntenic
EES02545	.	Zm00001d008559	maize2-retained
KXG31965	.	.	non-syntenic
KXG31966	.	.	non-syntenic
OQU86394	.	.	non-syntenic
OQU86393	Zm00001d039983	.	maize1-retained
OQU86400	.	.	non-syntenic
EES02550	.	Zm00001d008549	maize2-retained
EES00368	Zm00001d039987	.	maize1-retained
OQU86401	Zm00001d039988	.	maize1-retained
KXG31970	.	Zm00001d008548	maize2-retained
EES00371	.	Zm00001d008548	maize2-retained
EES02551	.	.	non-syntenic
OQU86402	.	.	non-syntenic
OQU86403	.	.	non-syntenic
EES02552	.	Zm00001d008546	maize2-retained
EES02553	Zm00001d039991	Zm00001d008540	both-retained
OQU86407	.	.	non-syntenic
OQU86408	Zm00001d039993	Zm00001d008539	both-retained
EES02554	Zm00001d039994	.	maize1-retained
OQU86409	.	.	non-syntenic
KXG31973	Zm00001d039997	.	maize1-retained
KXG31976	Zm00001d040002	.	maize1-retained
KXG31974	.	.	non-syntenic
EES00374	Zm00001d040003	.	maize1-retained
EES02556	Zm00001d040004	.	maize1-retained
KXG31977	Zm00001d040005	Zm00001d008535	both-retained
KXG31978	Zm00001d040006	Zm00001d008532	both-retained
EES02558	Zm00001d040008	.	maize1-retained
KXG31980	Zm00001d040010	Zm00001d008531	both-retained
KXG31984	Zm00001d040011	Zm00001d008530	both-retained
KXG31982	Zm00001d040014	Zm00001d008529	both-retained
EES00378	Zm00001d040014	Zm00001d008529	both-retained
KXG31987	.	.	non-syntenic
EES00381	Zm00001d040019	Zm00001d008528	both-retained
OQU86414	.	Zm00001d008526	maize2-retained
KXG31988	.	.	non-syntenic
KXG31990	Zm00001d040020	Zm00001d008525	both-retained
KXG31993	Zm00001d040023	.	maize1-retained
EES02561	.	.	non-syntenic
KXG31995	Zm00001d040019	Zm00001d008528	both-retained
EES02563	Zm00001d040028	.	maize1-retained
OQU86419	.	.	non-syntenic
OQU86420	Zm00001d040035	.	maize1-retained
KXG31997	Zm00001d040033	.	maize1-retained
KXG31999	.	.	non-syntenic
EES02566	Zm00001d040034	.	maize1-retained
KXG32002	Zm00001d040035	.	maize1-retained
EES02568	Zm00001d040036	Zm00001d008520	both-retained
KXG32003	Zm00001d040038	Zm00001d008517	both-retained
EES00385	.	Zm00001d008516	maize2-retained
EES02570	Zm00001d040040	Zm00001d008515	both-retained
OQU86426	Zm00001d040046	Zm00001d008514	both-retained
EES00387	Zm00001d040044	Zm00001d008514	both-retained
EES02571	.	.	non-syntenic
KXG32006	.	.	non-syntenic
OQU86427	.	.	non-syntenic
OQU86428	.	.	non-syntenic
KXG32008	Zm00001d040046	Zm00001d008514	both-retained
KXG32009	Zm00001d040046	Zm00001d008514	both-retained
KXG32010	Zm00001d040046	.	maize1-retained
KXG32011	Zm00001d040046	.	maize1-retained
OQU86429	Zm00001d040044	.	maize1-retained
EES02574	Zm00001d040044	.	maize1-retained
OQU86430	Zm00001d040046	.	maize1-retained
KXG32014	Zm00001d040044	.	maize1-retained
OQU86431	.	.	non-syntenic
OQU86432	.	.	non-syntenic
OQU86433	Zm00001d040046	.	maize1-retained
OQU86434	Zm00001d040046	Zm00001d008514	both-retained
KXG32016	Zm00001d040044	Zm00001d008514	both-retained
KXG32017	Zm00001d040046	.	maize1-retained
EES02573	Zm00001d040046	Zm00001d008514	both-retained
KXG32019	Zm00001d040046	Zm00001d008514	both-retained
OQU86439	Zm00001d040046	Zm00001d008514	both-retained
EES02585	Zm00001d040046	Zm00001d008514	both-retained
OQU86440	Zm00001d040046	Zm00001d008514	both-retained
OQU86441	.	.	non-syntenic
EES00395	Zm00001d040046	Zm00001d008514	both-retained
EES00396	Zm00001d040046	Zm00001d008514	both-retained
OQU86450	.	.	non-syntenic
KXG32023	.	.	non-syntenic
EES00397	Zm00001d040046	Zm00001d008514	both-retained
OQU86451	.	.	non-syntenic
OQU86452	.	.	non-syntenic
KXG32024	.	.	non-syntenic
OQU86453	Zm00001d040044	Zm00001d008514	both-retained
EES00399	.	.	non-syntenic
KXG32025	Zm00001d040046	Zm00001d008514	both-retained
EES00400	Zm00001d040044	Zm00001d008514	both-retained
KXG32028	Zm00001d040046	Zm00001d008514	both-retained
OQU86457	Zm00001d040046	Zm00001d008514	both-retained
EES02591	Zm00001d040047	Zm00001d008513	both-retained
EES00402	.	Zm00001d008512	maize2-retained
EES00403	Zm00001d040048	.	maize1-retained
KXG32030	Zm00001d040050	.	maize1-retained
KXG32031	Zm00001d040051	Zm00001d008511	both-retained
KXG32036	.	.	non-syntenic
KXG32037	.	.	non-syntenic
EES00405	Zm00001d040056	.	maize1-retained
OQU86465	.	.	non-syntenic
EES00406	.	Zm00001d008503	maize2-retained
EES02593	.	Zm00001d008502	maize2-retained
OQU86466	Zm00001d040057	Zm00001d008501	both-retained
EES02592	.	.	non-syntenic
KXG32043	Zm00001d040058	Zm00001d008500	both-retained
EES02595	.	.	non-syntenic
KXG32044	.	Zm00001d008499	maize2-retained
KXG32046	.	Zm00001d008498	maize2-retained
OQU86468	.	Zm00001d008497	maize2-retained
OQU86469	Zm00001d040059	Zm00001d008496	both-retained
KXG32050	Zm00001d040059	Zm00001d008495	both-retained
EES00412	Zm00001d040060	Zm00001d008494	both-retained
EES00407	Zm00001d040061	.	maize1-retained
OQU86470	.	.	non-syntenic
KXG32051	.	.	non-syntenic
OQU86471	.	.	non-syntenic
EES00414	Zm00001d040060	Zm00001d008494	both-retained
OQU86472	.	.	non-syntenic
EES00415	Zm00001d040066	Zm00001d008494	both-retained
OQU86473	.	.	non-syntenic
KXG32065	Zm00001d040067	Zm00001d008494	both-retained
EES00419	Zm00001d040059	Zm00001d008495	both-retained
OQU86475	Zm00001d040071	Zm00001d008496	both-retained
EES00420	Zm00001d040075	Zm00001d008495	both-retained
OQU86476	.	.	non-syntenic
EES02601	Zm00001d040076	Zm00001d008493	both-retained
KXG32067	Zm00001d040082	.	maize1-retained
KXG32068	Zm00001d040084	Zm00001d008491	both-retained
EES02603	Zm00001d040089	.	maize1-retained
EES02604	Zm00001d040090	.	maize1-retained
OQU86478	Zm00001d040094	Zm00001d008488	both-retained
EES02605	Zm00001d040094	Zm00001d008468	both-retained
KXG32072	.	.	non-syntenic
OQU86483	Zm00001d040094	Zm00001d008458	both-retained
EES00429	Zm00001d040094	Zm00001d008489	both-retained
OQU86484	Zm00001d040094	Zm00001d008489	both-retained
OQU86485	Zm00001d040094	Zm00001d008489	both-retained
KXG32076	Zm00001d040094	Zm00001d008457	both-retained
KXG32078	Zm00001d040094	Zm00001d008462	both-retained
KXG32080	Zm00001d040097	.	maize1-retained
KXG32081	.	.	non-syntenic
KXG32083	.	.	non-syntenic
